Channel,User,Ts,Year,Month,Day,Hour,Minute,Second
conference-flow,U7C2YBD7D,1517860609.000466,70,0,0,14,37,40
conference-flow,U7DET4PSP,1517860670.000045,70,0,0,14,37,40
conference-flow,U7C2YBD7D,1517860820.000520,70,0,0,14,37,40
conference-flow,U7C2YBD7D,1517860878.000538,70,0,0,14,37,40
conference-flow,U7C2YBD7D,1517860934.000659,70,0,0,14,37,40
demoday,U7C2YBD7D,1513025169.000003,70,0,0,13,17,5
demoday,U7G52NFN2,1513025169.000425,70,0,0,13,17,5
demoday,U7DET4PSP,1513025169.000459,70,0,0,13,17,5
demoday,U2WQ03HBJ,1513025169.000489,70,0,0,13,17,5
demoday,U7C2YBD7D,1513025187.000764,70,0,0,13,17,5
demoday,U7C2YBD7D,1513025253.000270,70,0,0,13,17,5
demoday,U7C2YBD7D,1513025436.000501,70,0,0,13,17,5
demoday,U7C2YBD7D,1513025563.000227,70,0,0,13,17,5
demoday,U7C2YBD7D,1513025666.000339,70,0,0,13,17,5
demoday,U7C2YBD7D,1513025677.000165,70,0,0,13,17,5
demoday,U7C2YBD7D,1513025873.000237,70,0,0,13,17,5
demoday,U7G52NFN2,1513064703.000238,70,0,0,13,17,44
demoday,U7DET4PSP,1513093499.000458,70,0,0,13,18,13
demoday,U7DET4PSP,1513093564.000005,70,0,0,13,18,13
demoday,U7DET4PSP,1513093567.000534,70,0,0,13,18,13
demoday,U7DET4PSP,1513093652.000682,70,0,0,13,18,13
demoday,U7PUGSSMR,1513105367.000500,70,0,0,13,18,25
demoday,U7C2YBD7D,1513105477.000539,70,0,0,13,18,25
demoday,U7C2YBD7D,1513105482.000367,70,0,0,13,18,25
demoday,U7C2YBD7D,1513105632.000752,70,0,0,13,18,25
demoday,U7PUGSSMR,1513106966.000042,70,0,0,13,18,26
demoday,U7G52NFN2,1513107506.000387,70,0,0,13,18,27
demoday,U7G52NFN2,1513107537.000283,70,0,0,13,18,27
demoday,U7DET4PSP,1513108239.000234,70,0,0,13,18,28
demoday,U7DET4PSP,1513108246.000185,70,0,0,13,18,28
demoday,U7DET4PSP,1513108250.000130,70,0,0,13,18,28
demoday,U2WQ03HBJ,1513109532.000116,70,0,0,13,18,29
demoday,U2WQ03HBJ,1513109613.000699,70,0,0,13,18,29
demoday,U2WQ03HBJ,1513109992.000570,70,0,0,13,18,29
